Date,(INDEX) S&P Composite 1500 / Communication Services -SEC - Total Return    
12/30/2013,0
12/31/2013,-0.08
1/1/2014,-0.08
1/2/2014,-0.68
1/3/2014,-1.31
1/6/2014,-0.86
1/7/2014,-0.3
1/8/2014,-0.92
1/9/2014,-2.75
1/10/2014,-2.39
1/13/2014,-3.45
1/14/2014,-3.04
1/15/2014,-1.62
1/16/2014,-1.23
1/17/2014,-1.75
1/20/2014,-1.75
1/21/2014,-2.44
1/22/2014,-3.13
1/23/2014,-2.17
1/24/2014,-3.15
1/27/2014,-3.05
1/28/2014,-3.04
1/29/2014,-3.51
1/30/2014,-3.3
1/31/2014,-3.18
2/3/2014,-6.75
2/4/2014,-5.71
2/5/2014,-6.32
2/6/2014,-6.26
2/7/2014,-5.58
2/10/2014,-5.23
2/11/2014,-4.06
2/12/2014,-3.83
2/13/2014,-2.87
2/14/2014,-3.88
2/17/2014,-3.88
2/18/2014,-4.73
2/19/2014,-4.3
2/20/2014,-2.44
2/21/2014,-3.73
2/24/2014,-4.97
2/25/2014,-5.21
2/26/2014,-5.54
2/27/2014,-4
2/28/2014,-4.23
3/3/2014,-4.59
3/4/2014,-3.5
3/5/2014,-4.01
3/6/2014,-3.66
3/7/2014,-3.69
3/10/2014,-3.97
3/11/2014,-4.65
3/12/2014,-4.83
3/13/2014,-5.2
3/14/2014,-4.92
3/17/2014,-4.07
3/18/2014,-3.42
3/19/2014,-3.83
3/20/2014,-1.49
3/21/2014,-1.5
3/24/2014,-1.19
3/25/2014,-0.62
3/26/2014,-0.93
3/27/2014,0.22
3/28/2014,0.18
3/31/2014,0.41
4/1/2014,0.72
4/2/2014,1.17
4/3/2014,1.81
4/4/2014,1.59
4/7/2014,1.52
4/8/2014,2.53
4/9/2014,1.83
4/10/2014,1.48
4/11/2014,1.09
4/14/2014,1.64
4/15/2014,1.75
4/16/2014,2.65
4/17/2014,3.05
4/18/2014,3.05
4/21/2014,3.49
4/22/2014,3.74
4/23/2014,1.57
4/24/2014,-0.15
4/25/2014,-0.56
4/28/2014,0.84
4/29/2014,1.5
4/30/2014,1.88
5/1/2014,2.27
5/2/2014,2.19
5/5/2014,2.65
5/6/2014,2.28
5/7/2014,3.26
5/8/2014,4.74
5/9/2014,4.83
5/12/2014,4.72
5/13/2014,3.97
5/14/2014,4.44
5/15/2014,4.57
5/16/2014,6.05
5/19/2014,5.68
5/20/2014,3.91
5/21/2014,4
5/22/2014,4.51
5/23/2014,4.78
5/26/2014,4.78
5/27/2014,4.53
5/28/2014,4.95
5/29/2014,4.97
5/30/2014,5.31
6/2/2014,5.3
6/3/2014,4.3
6/4/2014,3.99
6/5/2014,4.15
6/6/2014,4.13
6/9/2014,4.27
6/10/2014,4.14
6/11/2014,3.68
6/12/2014,3.36
6/13/2014,4.01
6/16/2014,4.2
6/17/2014,4.14
6/18/2014,4.73
6/19/2014,5.02
6/20/2014,4.9
6/23/2014,5.24
6/24/2014,4.56
6/25/2014,4.65
6/26/2014,4.45
6/27/2014,4.72
6/30/2014,4.37
7/1/2014,4.99
7/2/2014,5.46
7/3/2014,5.78
7/4/2014,5.78
7/7/2014,6.02
7/8/2014,5.57
7/9/2014,5.87
7/10/2014,6.69
7/11/2014,7.48
7/14/2014,7.85
7/15/2014,8.52
7/16/2014,9.12
7/17/2014,7.82
7/18/2014,8.51
7/21/2014,8.16
7/22/2014,8.51
7/23/2014,8.38
7/24/2014,8.12
7/25/2014,8.36
7/28/2014,8.84
7/29/2014,11.22
7/30/2014,10.58
7/31/2014,8.1
8/1/2014,7.09
8/4/2014,7.67
8/5/2014,6.79
8/6/2014,5.39
8/7/2014,4.34
8/8/2014,4.83
8/11/2014,4.91
8/12/2014,5.38
8/13/2014,5.5
8/14/2014,5.86
8/15/2014,5.45
8/18/2014,5.34
8/19/2014,5.06
8/20/2014,5.27
8/21/2014,5.48
8/22/2014,5.09
8/25/2014,5.7
8/26/2014,5.77
8/27/2014,6.35
8/28/2014,6.33
8/29/2014,7.08
9/1/2014,7.08
9/2/2014,6.82
9/3/2014,7.11
9/4/2014,6.91
9/5/2014,7.5
9/8/2014,6.84
9/9/2014,5.61
9/10/2014,5.38
9/11/2014,6
9/12/2014,4.76
9/15/2014,5.13
9/16/2014,5.92
9/17/2014,6.4
9/18/2014,7.13
9/19/2014,8.22
9/22/2014,8.05
9/23/2014,7.39
9/24/2014,7.71
9/25/2014,6.66
9/26/2014,7.13
9/29/2014,7.07
9/30/2014,7.41
10/1/2014,6.31
10/2/2014,6.23
10/3/2014,7.24
10/6/2014,7.67
10/7/2014,6.91
10/8/2014,8.18
10/9/2014,6.19
10/10/2014,5.47
10/13/2014,4.16
10/14/2014,4.2
10/15/2014,3.94
10/16/2014,3.43
10/17/2014,4.52
10/20/2014,5.31
10/21/2014,6.1
10/22/2014,5.58
10/23/2014,4.45
10/24/2014,5.28
10/27/2014,6.37
10/28/2014,7.43
10/29/2014,7.38
10/30/2014,7.69
10/31/2014,8.55
11/3/2014,8.74
11/4/2014,8.54
11/5/2014,8.75
11/6/2014,7.84
11/7/2014,8.72
11/10/2014,8.95
11/11/2014,8.85
11/12/2014,9.67
11/13/2014,10.46
11/14/2014,11.17
11/17/2014,10.96
11/18/2014,10.72
11/19/2014,9.54
11/20/2014,9.12
11/21/2014,9.23
11/24/2014,7.74
11/25/2014,7.57
11/26/2014,8.89
11/27/2014,8.89
11/28/2014,9.82
12/1/2014,8.75
12/2/2014,6.81
12/3/2014,5.96
12/4/2014,5.78
12/5/2014,5.6
12/8/2014,5.67
12/9/2014,2.35
12/10/2014,0.86
12/11/2014,1.47
12/12/2014,-0.44
12/15/2014,-0.47
12/16/2014,-0.42
12/17/2014,1.43
12/18/2014,3.32
12/19/2014,3.35
12/22/2014,4.41
12/23/2014,4.81
12/24/2014,4.73
12/25/2014,4.73
12/26/2014,5.29
12/29/2014,4.91
12/30/2014,4.51
12/31/2014,3.21
1/1/2015,3.21
1/2/2015,3.75
1/5/2015,2.65
1/6/2015,2.97
1/7/2015,2.75
1/8/2015,4.34
1/9/2015,3.65
1/12/2015,4.23
1/13/2015,4.37
1/14/2015,3.92
1/15/2015,3.89
1/16/2015,5.61
1/19/2015,5.61
1/20/2015,6.06
1/21/2015,6.25
1/22/2015,5.7
1/23/2015,4.44
1/26/2015,4
1/27/2015,2.82
1/28/2015,2.21
1/29/2015,2.52
1/30/2015,1.94
2/2/2015,4.42
2/3/2015,6.7
2/4/2015,6.79
2/5/2015,7.07
2/6/2015,9.02
2/9/2015,8.73
2/10/2015,9.6
2/11/2015,9.39
2/12/2015,9.25
2/13/2015,9.1
2/16/2015,9.1
2/17/2015,8.98
2/18/2015,8.12
2/19/2015,7.54
2/20/2015,7.62
2/23/2015,7.01
2/24/2015,7.66
2/25/2015,7.87
2/26/2015,8.36
2/27/2015,8.61
3/2/2015,8.71
3/3/2015,8.54
