Date,(INDEX) S&P Composite 1500 / Consumer Discretionary - SEC - Total Return    
12/30/2013,0
12/31/2013,0.37
1/1/2014,0.37
1/2/2014,-0.16
1/3/2014,-0.35
1/6/2014,-0.98
1/7/2014,-0.45
1/8/2014,-0.6
1/9/2014,-0.77
1/10/2014,-0.39
1/13/2014,-2.36
1/14/2014,-1.59
1/15/2014,-1.37
1/16/2014,-1.84
1/17/2014,-2.34
1/20/2014,-2.34
1/21/2014,-2.55
1/22/2014,-2.23
1/23/2014,-2.93
1/24/2014,-4.83
1/27/2014,-5.23
1/28/2014,-4.52
1/29/2014,-6.09
1/30/2014,-4.5
1/31/2014,-5.58
2/3/2014,-8.19
2/4/2014,-7.16
2/5/2014,-7.06
2/6/2014,-5.11
2/7/2014,-3.93
2/10/2014,-3.99
2/11/2014,-3.29
2/12/2014,-3.24
2/13/2014,-2.76
2/14/2014,-2.26
2/17/2014,-2.26
2/18/2014,-2.18
2/19/2014,-2.92
2/20/2014,-2.37
2/21/2014,-2.12
2/24/2014,-1.56
2/25/2014,-1.03
2/26/2014,-0.34
2/27/2014,0.05
2/28/2014,0.33
3/3/2014,-0.5
3/4/2014,0.85
3/5/2014,1.09
3/6/2014,1.41
3/7/2014,1.4
3/10/2014,1.06
3/11/2014,0.53
3/12/2014,0.46
3/13/2014,-0.9
3/14/2014,-0.84
3/17/2014,-0.14
3/18/2014,0.37
3/19/2014,-0.27
3/20/2014,-0.07
3/21/2014,-0.66
3/24/2014,-1.68
3/25/2014,-2.31
3/26/2014,-3.13
3/27/2014,-3.51
3/28/2014,-2.7
3/31/2014,-2.02
4/1/2014,-0.67
4/2/2014,-0.04
4/3/2014,-0.58
4/4/2014,-2.29
4/7/2014,-4.23
4/8/2014,-3.29
4/9/2014,-2.28
4/10/2014,-4.67
4/11/2014,-5.98
4/14/2014,-5.27
4/15/2014,-5.14
4/16/2014,-3.9
4/17/2014,-3.8
4/18/2014,-3.8
4/21/2014,-3.53
4/22/2014,-2.69
4/23/2014,-3.16
4/24/2014,-2.71
4/25/2014,-4.27
4/28/2014,-4.51
4/29/2014,-4.08
4/30/2014,-3.64
5/1/2014,-3.31
5/2/2014,-2.98
5/5/2014,-2.96
5/6/2014,-4.29
5/7/2014,-4.45
5/8/2014,-4.28
5/9/2014,-3.67
5/12/2014,-2.36
5/13/2014,-2.72
5/14/2014,-3.8
5/15/2014,-4.51
5/16/2014,-3.81
5/19/2014,-3.39
5/20/2014,-4.35
5/21/2014,-3.29
5/22/2014,-2.74
5/23/2014,-1.95
5/26/2014,-1.95
5/27/2014,-1.45
5/28/2014,-1.63
5/29/2014,-1.24
5/30/2014,-1.16
6/2/2014,-0.88
6/3/2014,-1.04
6/4/2014,-0.56
6/5/2014,0.13
6/6/2014,0.73
6/9/2014,0.87
6/10/2014,0.6
6/11/2014,0.27
6/12/2014,-0.97
6/13/2014,-0.94
6/16/2014,-0.61
6/17/2014,-0.24
6/18/2014,0.49
6/19/2014,0.31
6/20/2014,-0.03
6/23/2014,0.08
6/24/2014,-0.19
6/25/2014,0.67
6/26/2014,0.72
6/27/2014,1.04
6/30/2014,1.06
7/1/2014,2.11
7/2/2014,2.17
7/3/2014,2.99
7/4/2014,2.99
7/7/2014,2.28
7/8/2014,1.25
7/9/2014,2.41
7/10/2014,1.43
7/11/2014,1.65
7/14/2014,1.91
7/15/2014,1.49
7/16/2014,1.68
7/17/2014,0.73
7/18/2014,1.68
7/21/2014,1.17
7/22/2014,1.66
7/23/2014,1.57
7/24/2014,1.88
7/25/2014,0.71
7/28/2014,0.84
7/29/2014,0.55
7/30/2014,1.07
7/31/2014,-0.79
8/1/2014,-1.1
8/4/2014,-0.11
8/5/2014,-0.73
8/6/2014,-0.94
8/7/2014,-1.42
8/8/2014,0.08
8/11/2014,0.55
8/12/2014,0.16
8/13/2014,0.49
8/14/2014,1.28
8/15/2014,1.11
8/18/2014,2.1
8/19/2014,2.88
8/20/2014,3.36
8/21/2014,3.27
8/22/2014,3.44
8/25/2014,3.76
8/26/2014,3.85
8/27/2014,3.95
8/28/2014,3.73
8/29/2014,3.76
9/1/2014,3.76
9/2/2014,4.04
9/3/2014,3.71
9/4/2014,4.12
9/5/2014,4.51
9/8/2014,4.06
9/9/2014,3.06
9/10/2014,3.41
9/11/2014,3.53
9/12/2014,3.19
9/15/2014,2.76
