Date,(INDEX) S&P Composite 1500 / Energy - SEC - Total Return    
12/30/2013,0
12/31/2013,0.92
1/1/2014,0.92
1/2/2014,-0.44
1/3/2014,-0.69
1/6/2014,-0.67
1/7/2014,0.16
1/8/2014,-0.53
1/9/2014,-0.9
1/10/2014,-0.71
1/13/2014,-2.63
1/14/2014,-1.5
1/15/2014,-1.78
1/16/2014,-1.7
1/17/2014,-1.76
1/20/2014,-1.76
1/21/2014,-1.21
1/22/2014,-0.85
1/23/2014,-2
1/24/2014,-4.05
1/27/2014,-4.45
1/28/2014,-3.67
1/29/2014,-4.26
1/30/2014,-4.04
1/31/2014,-5.42
2/3/2014,-7.17
2/4/2014,-6.43
2/5/2014,-7.26
2/6/2014,-5.82
2/7/2014,-4.83
2/10/2014,-5.44
2/11/2014,-4.04
2/12/2014,-4.21
2/13/2014,-3.7
2/14/2014,-2.31
2/17/2014,-2.31
2/18/2014,-1.95
2/19/2014,-1.98
2/20/2014,-1.27
2/21/2014,-1.93
2/24/2014,-0.39
2/25/2014,-0.45
2/26/2014,-1.05
2/27/2014,-1.04
2/28/2014,-0.5
3/3/2014,-1.06
3/4/2014,-0.02
3/5/2014,-1.11
3/6/2014,-0.51
3/7/2014,-0.14
3/10/2014,0.03
3/11/2014,-1.18
3/12/2014,-1.09
3/13/2014,-2.09
3/14/2014,-1.9
3/17/2014,-1.27
3/18/2014,-0.44
3/19/2014,-1.31
3/20/2014,-0.79
3/21/2014,-0.48
3/24/2014,-0.65
3/25/2014,0.16
3/26/2014,-0.24
3/27/2014,0.62
3/28/2014,1.9
3/31/2014,1.93
4/1/2014,2.46
4/2/2014,2.83
4/3/2014,3.35
4/4/2014,2.9
4/7/2014,1.36
4/8/2014,2.33
4/9/2014,2.83
4/10/2014,1.43
4/11/2014,1.17
4/14/2014,2.49
4/15/2014,3.79
4/16/2014,5.04
4/17/2014,5.92
4/18/2014,5.92
4/21/2014,6.6
4/22/2014,6.4
4/23/2014,6.91
4/24/2014,6.84
4/25/2014,6.29
4/28/2014,6.53
4/29/2014,7.01
4/30/2014,7.02
5/1/2014,6.61
5/2/2014,6.97
5/5/2014,7.43
5/6/2014,7.56
5/7/2014,8.45
5/8/2014,6.91
5/9/2014,6.88
5/12/2014,7.57
5/13/2014,7.9
5/14/2014,7.92
5/15/2014,6.65
5/16/2014,6.39
5/19/2014,6.77
5/20/2014,6.48
5/21/2014,7.71
5/22/2014,7.55
5/23/2014,7.38
5/26/2014,7.38
5/27/2014,7.66
5/28/2014,7.81
5/29/2014,8.61
5/30/2014,8.45
6/2/2014,8.23
6/3/2014,8.59
