Date,(INDEX) S&P Composite 1500 / Financials - SEC - Total Return    
12/30/2013,0
12/31/2013,0.34
1/1/2014,0.34
1/2/2014,-0.23
1/3/2014,0.39
1/6/2014,0.46
1/7/2014,0.61
1/8/2014,0.86
1/9/2014,1.17
1/10/2014,1.11
1/13/2014,-0.31
1/14/2014,0.48
1/15/2014,1.58
1/16/2014,1.03
1/17/2014,0.71
1/20/2014,0.71
1/21/2014,0.92
1/22/2014,1.11
1/23/2014,-0.45
1/24/2014,-2.68
1/27/2014,-3.33
1/28/2014,-2.19
1/29/2014,-3.23
1/30/2014,-1.94
1/31/2014,-2.97
2/3/2014,-5.49
2/4/2014,-4.52
2/5/2014,-4.63
2/6/2014,-3.31
2/7/2014,-2.17
2/10/2014,-1.99
2/11/2014,-1.03
2/12/2014,-1.02
2/13/2014,-0.61
2/14/2014,-0.44
2/17/2014,-0.44
2/18/2014,-0.2
2/19/2014,-1.46
2/20/2014,-1.2
2/21/2014,-1.12
2/24/2014,-0.34
2/25/2014,-0.88
2/26/2014,-0.9
2/27/2014,-0.4
2/28/2014,0.16
3/3/2014,-0.67
3/4/2014,1.3
3/5/2014,1.89
3/6/2014,2.5
3/7/2014,2.93
3/10/2014,2.94
3/11/2014,2.28
3/12/2014,2.23
3/13/2014,1.11
3/14/2014,0.67
3/17/2014,1.64
3/18/2014,2.14
3/19/2014,1.85
3/20/2014,3.41
3/21/2014,3.43
3/24/2014,3.16
3/25/2014,3.2
3/26/2014,2.18
3/27/2014,1.64
3/28/2014,2.05
3/31/2014,3.11
4/1/2014,3.59
4/2/2014,3.75
4/3/2014,3.61
4/4/2014,2.39
4/7/2014,0.98
4/8/2014,1.15
4/9/2014,1.89
4/10/2014,-0.42
4/11/2014,-1.52
4/14/2014,-0.79
4/15/2014,0.06
4/16/2014,0.93
4/17/2014,1.04
4/18/2014,1.04
4/21/2014,1.01
4/22/2014,1.69
4/23/2014,1.88
4/24/2014,1.76
4/25/2014,0.86
4/28/2014,0.38
4/29/2014,1.21
4/30/2014,1.48
5/1/2014,1.56
5/2/2014,1.61
5/5/2014,1.21
5/6/2014,-0.14
5/7/2014,1.18
5/8/2014,1.37
5/9/2014,1.32
5/12/2014,2.41
5/13/2014,2.17
5/14/2014,1.35
5/15/2014,0.28
5/16/2014,0.43
5/19/2014,1
5/20/2014,0.3
5/21/2014,1.02
5/22/2014,1.39
5/23/2014,1.71
5/26/2014,1.71
5/27/2014,2.69
5/28/2014,2.41
5/29/2014,2.64
5/30/2014,2.81
6/2/2014,3.16
6/3/2014,3.25
6/4/2014,3.64
6/5/2014,4.72
6/6/2014,5.41
6/9/2014,5.74
6/10/2014,5.62
6/11/2014,4.95
6/12/2014,4.4
6/13/2014,4.42
6/16/2014,3.97
6/17/2014,4.97
6/18/2014,5.63
6/19/2014,5.49
6/20/2014,5.83
6/23/2014,6.03
6/24/2014,5.33
6/25/2014,5.49
6/26/2014,5.19
6/27/2014,5.49
6/30/2014,5.53
7/1/2014,6.23
7/2/2014,6.09
7/3/2014,6.86
7/4/2014,6.86
7/7/2014,6.32
7/8/2014,5.47
7/9/2014,5.73
7/10/2014,5.11
7/11/2014,5.22
7/14/2014,5.81
7/15/2014,6.43
7/16/2014,6.26
7/17/2014,4.95
7/18/2014,6.07
7/21/2014,5.8
7/22/2014,6.12
7/23/2014,6.33
7/24/2014,6.62
7/25/2014,6
