Date,(INDEX) S&P Composite 1500 / Health Care - SEC - Total Return    
12/30/2013,0
12/31/2013,0
1/1/2014,0
1/2/2014,-0.58
1/3/2014,-0.35
1/6/2014,-0.75
1/7/2014,0.32
1/8/2014,1.17
1/9/2014,1.9
1/10/2014,2.34
1/13/2014,1.55
1/14/2014,2.86
1/15/2014,2.8
1/16/2014,3.05
1/17/2014,2.97
1/20/2014,2.97
1/21/2014,3.48
1/22/2014,3.54
1/23/2014,2.81
1/24/2014,0.41
1/27/2014,-0.44
1/28/2014,0.82
1/29/2014,-0.09
1/30/2014,1.67
1/31/2014,0.87
2/3/2014,-1.32
2/4/2014,-0.36
2/5/2014,-0.83
2/6/2014,-0.36
2/7/2014,1.34
2/10/2014,2.24
2/11/2014,3.57
2/12/2014,3.52
2/13/2014,4.36
2/14/2014,4.68
2/17/2014,4.68
2/18/2014,5.67
2/19/2014,4.99
2/20/2014,5.97
2/21/2014,5.81
2/24/2014,6.6
2/25/2014,6.29
2/26/2014,6.31
2/27/2014,6.84
2/28/2014,6.77
3/3/2014,6.03
3/4/2014,8.04
3/5/2014,7.83
3/6/2014,7.13
3/7/2014,6.96
3/10/2014,7.32
3/11/2014,6.99
3/12/2014,7.02
3/13/2014,5.58
3/14/2014,5.1
3/17/2014,6.03
3/18/2014,7.32
3/19/2014,6.92
3/20/2014,6.89
3/21/2014,5.26
3/24/2014,3.76
3/25/2014,4.53
3/26/2014,4.52
3/27/2014,4.39
3/28/2014,3.99
3/31/2014,5.38
4/1/2014,6.16
4/2/2014,6.57
4/3/2014,6.25
4/4/2014,4.53
4/7/2014,3.4
4/8/2014,2.71
4/9/2014,4.85
4/10/2014,1.52
4/11/2014,0.39
4/14/2014,0.9
4/15/2014,1.93
4/16/2014,2.49
4/17/2014,2.48
4/18/2014,2.48
4/21/2014,3.69
4/22/2014,4.74
4/23/2014,4.26
4/24/2014,4.08
4/25/2014,3.33
4/28/2014,3.87
4/29/2014,4.54
4/30/2014,4.71
5/1/2014,4.92
5/2/2014,4.17
5/5/2014,4.75
5/6/2014,3.81
5/7/2014,4.12
5/8/2014,3.55
5/9/2014,4.19
5/12/2014,5.34
5/13/2014,5.47
5/14/2014,5.44
5/15/2014,4.46
5/16/2014,4.83
5/19/2014,5.53
5/20/2014,4.86
5/21/2014,5.67
5/22/2014,6.3
5/23/2014,6.44
5/26/2014,6.44
5/27/2014,7.05
5/28/2014,6.73
5/29/2014,7.51
5/30/2014,7.73
6/2/2014,7.89
6/3/2014,8.09
6/4/2014,8.37
6/5/2014,8.62
6/6/2014,8.59
6/9/2014,8.14
6/10/2014,8.32
6/11/2014,8.23
6/12/2014,7.7
6/13/2014,7.66
6/16/2014,7.81
6/17/2014,7.8
6/18/2014,8.64
6/19/2014,8.98
6/20/2014,9.92
6/23/2014,9.58
6/24/2014,9.54
6/25/2014,10.68
6/26/2014,10.71
6/27/2014,10.56
6/30/2014,10.2
7/1/2014,11.69
7/2/2014,12.4
7/3/2014,12.87
7/4/2014,12.87
7/7/2014,11.94
7/8/2014,10.9
7/9/2014,11.3
7/10/2014,11.26
7/11/2014,11.43
7/14/2014,11.86
7/15/2014,10.85
7/16/2014,10.54
7/17/2014,9.34
7/18/2014,11.11
7/21/2014,10.66
7/22/2014,11.6
7/23/2014,12.45
7/24/2014,12.28
7/25/2014,11.88
7/28/2014,12
7/29/2014,12
7/30/2014,12.51
7/31/2014,10.23
8/1/2014,10.16
8/4/2014,10.7
8/5/2014,9.78
8/6/2014,9.65
8/7/2014,8.38
8/8/2014,9.56
8/11/2014,9.58
8/12/2014,9.43
8/13/2014,10.73
8/14/2014,11.98
8/15/2014,12.08
8/18/2014,12.97
8/19/2014,13.75
8/20/2014,13.73
8/21/2014,13.83
8/22/2014,13.93
8/25/2014,14.7
8/26/2014,15.21
8/27/2014,15.2
8/28/2014,15.04
8/29/2014,15.55
9/1/2014,15.55
9/2/2014,15.59
9/3/2014,15.98
9/4/2014,15.37
9/5/2014,15.99
9/8/2014,16.12
9/9/2014,15.73
9/10/2014,16.48
9/11/2014,16.25
9/12/2014,15.42
9/15/2014,15.02
9/16/2014,16.49
9/17/2014,16.61
9/18/2014,17.49
9/19/2014,17.56
9/22/2014,16.88
9/23/2014,16.2
9/24/2014,18.13
9/25/2014,16.29
9/26/2014,16.64
9/29/2014,16.47
9/30/2014,15.72
10/1/2014,14.58
10/2/2014,14.39
10/3/2014,16.58
10/6/2014,16.09
10/7/2014,14.27
10/8/2014,17.07
10/9/2014,14.76
10/10/2014,13.92
10/13/2014,11.34
10/14/2014,10.56
10/15/2014,9.72
10/16/2014,9.3
10/17/2014,10.99
10/20/2014,12.32
10/21/2014,15.26
10/22/2014,14.62
10/23/2014,16.57
10/24/2014,18.17
10/27/2014,18.32
10/28/2014,19.26
10/29/2014,19.28
10/30/2014,21.34
10/31/2014,22
11/3/2014,22.06
11/4/2014,22.14
11/5/2014,21.95
11/6/2014,22.65
11/7/2014,21.33
11/10/2014,22.52
11/11/2014,22.98
11/12/2014,22.87
11/13/2014,22.76
11/14/2014,21.78
11/17/2014,22.37
11/18/2014,24.25
11/19/2014,23.57
11/20/2014,23.16
11/21/2014,23.71
11/24/2014,24.38
11/25/2014,24.45
11/26/2014,25.3
11/27/2014,25.3
11/28/2014,25.98
12/1/2014,25.66
12/2/2014,27.01
12/3/2014,27.3
12/4/2014,27.11
12/5/2014,28.05
12/8/2014,28.52
12/9/2014,28.15
12/10/2014,26.07
12/11/2014,26.52
12/12/2014,24.54
12/15/2014,23.56
12/16/2014,22.11
12/17/2014,24.46
12/18/2014,27.82
12/19/2014,28.35
12/22/2014,27.04
12/23/2014,24.4
12/24/2014,25.22
12/25/2014,25.22
12/26/2014,26.15
12/29/2014,26.46
12/30/2014,26.02
12/31/2014,24.79
1/1/2015,24.79
1/2/2015,25.2
1/5/2015,24.42
1/6/2015,24.07
1/7/2015,26.84
1/8/2015,29.02
1/9/2015,28.02
1/12/2015,27.94
1/13/2015,27.5
1/14/2015,27.37
1/15/2015,25.99
1/16/2015,28.35
1/19/2015,28.35
1/20/2015,28.26
1/21/2015,28.38
1/22/2015,30.06
1/23/2015,29.47
1/26/2015,30.09
1/27/2015,29.15
1/28/2015,27.32
1/29/2015,28.43
1/30/2015,26.41
2/2/2015,27.17
2/3/2015,28.02
2/4/2015,26.52
2/5/2015,28.57
2/6/2015,27.55
2/9/2015,26.11
2/10/2015,28.06
2/11/2015,28.3
2/12/2015,28.76
2/13/2015,29.42
