Date,(INDEX) S&P Composite 1500 / Industrials - SEC - Total Return    
12/30/2013,0
12/31/2013,0.43
1/1/2014,0.43
1/2/2014,-0.87
1/3/2014,-0.55
1/6/2014,-1.22
1/7/2014,-0.68
1/8/2014,-0.74
1/9/2014,-0.33
1/10/2014,-0.02
1/13/2014,-1.16
1/14/2014,-0.1
1/15/2014,0.65
1/16/2014,0.37
1/17/2014,-0.14
1/20/2014,-0.14
1/21/2014,-0.06
1/22/2014,0.22
1/23/2014,-0.84
1/24/2014,-3.97
1/27/2014,-3.95
1/28/2014,-3.11
1/29/2014,-4.15
1/30/2014,-3.33
1/31/2014,-3.81
2/3/2014,-6.64
2/4/2014,-5.95
2/5/2014,-6.12
2/6/2014,-4.83
2/7/2014,-3.35
2/10/2014,-3.9
2/11/2014,-2.82
2/12/2014,-2.39
2/13/2014,-2.1
2/14/2014,-1.41
2/17/2014,-1.41
2/18/2014,-1.54
2/19/2014,-2.42
2/20/2014,-1.45
2/21/2014,-1.49
2/24/2014,-0.75
2/25/2014,-1.13
2/26/2014,-0.95
2/27/2014,-0.36
2/28/2014,-0.08
3/3/2014,-0.81
3/4/2014,0.82
3/5/2014,0.96
3/6/2014,1.56
3/7/2014,1.82
3/10/2014,1.31
3/11/2014,0.55
3/12/2014,0.36
3/13/2014,-1.12
3/14/2014,-1.39
3/17/2014,-0.19
3/18/2014,0.37
3/19/2014,-0.51
3/20/2014,-0.36
3/21/2014,-0.25
3/24/2014,-0.68
3/25/2014,0.08
3/26/2014,-1
3/27/2014,-1.19
3/28/2014,-0.47
3/31/2014,0.7
4/1/2014,1.49
4/2/2014,2.12
4/3/2014,2.18
4/4/2014,0.9
4/7/2014,-0.57
4/8/2014,-0.51
4/9/2014,0.82
4/10/2014,-1.13
4/11/2014,-2.16
4/14/2014,-1.63
4/15/2014,-1.05
4/16/2014,0.5
4/17/2014,1.31
4/18/2014,1.31
4/21/2014,1.62
4/22/2014,1.76
4/23/2014,2.04
4/24/2014,1.86
4/25/2014,0.86
4/28/2014,0.88
4/29/2014,1.19
4/30/2014,1.88
5/1/2014,1.65
5/2/2014,1.62
5/5/2014,1.72
5/6/2014,0.88
5/7/2014,1.72
5/8/2014,1.65
5/9/2014,1.76
5/12/2014,3.36
5/13/2014,3.44
5/14/2014,2.49
5/15/2014,1.51
5/16/2014,1.76
5/19/2014,2.23
5/20/2014,0.85
5/21/2014,1.71
5/22/2014,2.02
5/23/2014,2.76
5/26/2014,2.76
5/27/2014,3.33
5/28/2014,3.4
5/29/2014,3.75
5/30/2014,3.74
6/2/2014,4.13
6/3/2014,3.9
6/4/2014,3.88
6/5/2014,5.1
6/6/2014,6.11
6/9/2014,6.77
6/10/2014,6.5
6/11/2014,5.67
6/12/2014,4.4
6/13/2014,4.73
