Date,(INDEX) S&P Composite 1500 / Information Technology - SEC - Total Return    
12/30/2013,0
12/31/2013,0.71
1/1/2014,0.71
1/2/2014,-0.36
1/3/2014,-0.71
1/6/2014,-1
1/7/2014,-0.05
1/8/2014,0.06
1/9/2014,-0.47
1/10/2014,-0.26
1/13/2014,-1.33
1/14/2014,0.52
1/15/2014,1.7
1/16/2014,1.63
1/17/2014,1.06
1/20/2014,1.06
1/21/2014,1.55
1/22/2014,1.61
1/23/2014,1.17
1/24/2014,-0.95
1/27/2014,-1.99
1/28/2014,-2.45
1/29/2014,-3.38
1/30/2014,-1.92
1/31/2014,-1.84
2/3/2014,-4.11
2/4/2014,-3.55
2/5/2014,-3.59
2/6/2014,-2.33
2/7/2014,-0.94
2/10/2014,-0.63
2/11/2014,0.45
2/12/2014,0.82
2/13/2014,1.76
2/14/2014,2
2/17/2014,2
2/18/2014,2.29
2/19/2014,1.76
2/20/2014,2.17
2/21/2014,1.83
2/24/2014,2.38
2/25/2014,2.06
2/26/2014,2.29
2/27/2014,2.97
2/28/2014,2.83
3/3/2014,1.97
3/4/2014,3.64
3/5/2014,3.72
3/6/2014,3.71
3/7/2014,3.42
3/10/2014,3.23
3/11/2014,2.93
3/12/2014,3.22
3/13/2014,1.58
3/14/2014,1.01
3/17/2014,2.29
3/18/2014,3.73
3/19/2014,3.16
3/20/2014,3.81
3/21/2014,3.3
3/24/2014,2.89
3/25/2014,3.56
3/26/2014,2.13
3/27/2014,1.5
3/28/2014,1.94
3/31/2014,2.89
4/1/2014,4.28
4/2/2014,4.3
4/3/2014,3.66
4/4/2014,1.32
4/7/2014,0.48
4/8/2014,1.33
4/9/2014,2.94
4/10/2014,0.3
4/11/2014,-0.96
4/14/2014,-0.01
4/15/2014,0.48
4/16/2014,1.55
4/17/2014,1.35
4/18/2014,1.35
4/21/2014,1.78
4/22/2014,2.3
4/23/2014,1.41
4/24/2014,2.36
4/25/2014,0.84
4/28/2014,1.6
4/29/2014,2.28
4/30/2014,2.62
5/1/2014,2.61
5/2/2014,2.42
5/5/2014,2.79
5/6/2014,1.57
