Date,(INDEX) S&P Composite 1500 / Materials - SEC - Total Return    
12/30/2013,0
12/31/2013,0.26
1/1/2014,0.26
1/2/2014,-0.48
1/3/2014,-0.58
1/6/2014,-1.22
1/7/2014,-1.25
1/8/2014,-0.71
1/9/2014,-1.03
1/10/2014,-0.59
1/13/2014,-1.89
1/14/2014,-0.56
1/15/2014,0.05
1/16/2014,0.15
1/17/2014,-0.15
1/20/2014,-0.15
1/21/2014,0.36
1/22/2014,-0.36
1/23/2014,-1.64
1/24/2014,-4.38
1/27/2014,-4.84
1/28/2014,-4.26
1/29/2014,-3.87
1/30/2014,-3.42
1/31/2014,-3.86
2/3/2014,-6.34
2/4/2014,-5.54
2/5/2014,-5.41
2/6/2014,-3.97
2/7/2014,-2.67
2/10/2014,-2.28
2/11/2014,-1.11
2/12/2014,-1.04
2/13/2014,-0.1
2/14/2014,0.62
2/17/2014,0.62
2/18/2014,0.72
2/19/2014,-0.06
2/20/2014,0.89
2/21/2014,0.76
2/24/2014,0.31
2/25/2014,0.61
2/26/2014,1.48
2/27/2014,2.19
2/28/2014,2.61
3/3/2014,2.3
3/4/2014,3.95
3/5/2014,4.15
3/6/2014,4.55
3/7/2014,4.26
3/10/2014,4.02
3/11/2014,3.03
3/12/2014,2.91
3/13/2014,2
3/14/2014,2.16
3/17/2014,2.94
3/18/2014,3.65
3/19/2014,2.8
3/20/2014,3.24
3/21/2014,3.7
3/24/2014,2.87
3/25/2014,3.44
3/26/2014,1.89
3/27/2014,1.69
3/28/2014,2.34
3/31/2014,3.57
4/1/2014,4.36
4/2/2014,5.02
4/3/2014,5.09
4/4/2014,3.8
4/7/2014,2.14
4/8/2014,2.6
4/9/2014,4.07
4/10/2014,1.98
4/11/2014,0.8
4/14/2014,1.59
4/15/2014,2.05
4/16/2014,3.41
4/17/2014,3.72
4/18/2014,3.72
4/21/2014,3.88
4/22/2014,4.23
4/23/2014,4.17
4/24/2014,3.72
4/25/2014,2.89
4/28/2014,2.31
4/29/2014,3.06
4/30/2014,3.84
5/1/2014,3.33
5/2/2014,3.85
5/5/2014,4.16
5/6/2014,3.57
5/7/2014,4.37
5/8/2014,3.89
5/9/2014,3.89
5/12/2014,5.44
5/13/2014,5.32
5/14/2014,5.22
5/15/2014,3.77
5/16/2014,4.16
5/19/2014,4.65
5/20/2014,3.86
5/21/2014,4.39
5/22/2014,4.62
5/23/2014,5.54
5/26/2014,5.54
5/27/2014,5.62
5/28/2014,5.57
5/29/2014,6.59
5/30/2014,6.46
6/2/2014,6.86
6/3/2014,6.61
6/4/2014,6.87
6/5/2014,7.55
6/6/2014,8.12
6/9/2014,7.94
6/10/2014,8.02
6/11/2014,7.43
6/12/2014,6.48
6/13/2014,6.96
6/16/2014,6.8
6/17/2014,7.14
6/18/2014,8.21
6/19/2014,8.1
6/20/2014,8.73
6/23/2014,8.83
6/24/2014,7.79
6/25/2014,8.64
6/26/2014,8.49
6/27/2014,8.36
6/30/2014,8.86
7/1/2014,9.23
7/2/2014,9.26
7/3/2014,10.04
7/4/2014,10.04
7/7/2014,9.02
7/8/2014,8.65
7/9/2014,9.04
7/10/2014,8.38
7/11/2014,8.57
7/14/2014,8.6
7/15/2014,8.25
7/16/2014,8.9
7/17/2014,8.25
7/18/2014,9.1
7/21/2014,8.71
7/22/2014,8.99
7/23/2014,9.43
7/24/2014,9.31
7/25/2014,9.48
7/28/2014,9.67
7/29/2014,8.87
7/30/2014,8.47
7/31/2014,6.26
8/1/2014,6.32
8/4/2014,7.52
8/5/2014,6.54
8/6/2014,7.25
8/7/2014,6.37
8/8/2014,7.52
8/11/2014,7.55
8/12/2014,7.69
8/13/2014,8.32
8/14/2014,8.44
8/15/2014,8.58
8/18/2014,9.72
8/19/2014,10.12
8/20/2014,10.16
8/21/2014,10.01
8/22/2014,9.66
8/25/2014,10.04
8/26/2014,10.34
8/27/2014,10.32
8/28/2014,10.3
8/29/2014,10.58
9/1/2014,10.58
9/2/2014,10.32
9/3/2014,10.53
9/4/2014,10.42
9/5/2014,10.88
9/8/2014,10.38
9/9/2014,9.42
9/10/2014,9.44
9/11/2014,9.56
9/12/2014,8.86
9/15/2014,8.97
9/16/2014,9.56
9/17/2014,10.15
9/18/2014,10.77
9/19/2014,10.48
9/22/2014,10.1
9/23/2014,9.46
9/24/2014,10.37
9/25/2014,8.67
9/26/2014,9.59
9/29/2014,9.06
9/30/2014,7.75
10/1/2014,5.27
10/2/2014,5.04
10/3/2014,5.27
10/6/2014,5.17
10/7/2014,3.35
10/8/2014,4.79
10/9/2014,1.95
10/10/2014,0.32
10/13/2014,-2.06
10/14/2014,-1.6
10/15/2014,-0.87
10/16/2014,0.2
10/17/2014,1.48
10/20/2014,2.98
10/21/2014,5.42
10/22/2014,4.34
10/23/2014,4.8
10/24/2014,5.49
10/27/2014,3.38
10/28/2014,4.73
10/29/2014,3.5
10/30/2014,4.1
10/31/2014,6.05
11/3/2014,5.31
11/4/2014,4.27
11/5/2014,5.14
11/6/2014,6.03
11/7/2014,6.72
11/10/2014,6.89
11/11/2014,7.26
11/12/2014,7.6
11/13/2014,7.42
11/14/2014,7.71
11/17/2014,7.67
11/18/2014,8.77
11/19/2014,8.38
11/20/2014,9.08
11/21/2014,10.26
11/24/2014,9.89
11/25/2014,9.61
11/26/2014,9.68
11/27/2014,9.68
11/28/2014,7.05
12/1/2014,5.89
12/2/2014,6.55
12/3/2014,8.26
12/4/2014,8.48
12/5/2014,8.41
12/8/2014,6.73
12/9/2014,7.21
12/10/2014,4.86
12/11/2014,4.88
12/12/2014,2.05
12/15/2014,1.41
12/16/2014,0.91
12/17/2014,3.74
12/18/2014,5.82
12/19/2014,6.98
12/22/2014,6.92
12/23/2014,7.73
12/24/2014,7.51
12/25/2014,7.51
12/26/2014,7.94
12/29/2014,7.95
12/30/2014,7.79
12/31/2014,6.69
1/1/2015,6.69
1/2/2015,6.81
1/5/2015,4.01
1/6/2015,3.1
1/7/2015,3.94
1/8/2015,6.41
1/9/2015,5.82
1/12/2015,5.46
1/13/2015,4.45
1/14/2015,3.3
1/15/2015,2.95
1/16/2015,4.57
1/19/2015,4.57
1/20/2015,4.58
1/21/2015,5.51
1/22/2015,6.95
1/23/2015,5.12
1/26/2015,5.83
1/27/2015,5.01
1/28/2015,3.25
1/29/2015,4.32
1/30/2015,3.96
2/2/2015,4.84
2/3/2015,7.19
2/4/2015,6.59
2/5/2015,8.93
2/6/2015,8.71
2/9/2015,8.62
2/10/2015,9.33
2/11/2015,9.23
2/12/2015,11.22
2/13/2015,12.18
2/16/2015,12.18
2/17/2015,12.24
2/18/2015,12.51
2/19/2015,12.74
2/20/2015,13.15
2/23/2015,12.98
2/24/2015,13.35
2/25/2015,13.04
2/26/2015,12.48
2/27/2015,12.13
3/2/2015,12.93
3/3/2015,12.14
3/4/2015,11.74
3/5/2015,11.3
3/6/2015,9.79
3/9/2015,9.93
3/10/2015,8.09
3/11/2015,8.24
3/12/2015,9.61
3/13/2015,8.57
3/16/2015,8.5
3/17/2015,7.51
3/18/2015,9.19
3/19/2015,7.45
3/20/2015,8.3
3/23/2015,8.26
3/24/2015,8
3/25/2015,6.78
3/26/2015,6.93
3/27/2015,7.01
3/30/2015,8.5
3/31/2015,7.67
4/1/2015,7.67
4/2/2015,7.78
4/3/2015,7.78
4/6/2015,8.63
4/7/2015,8.4
4/8/2015,8.69
4/9/2015,9.11
4/10/2015,9.36
4/13/2015,8.91
