Date,(INDEX) S&P Composite 1500 Real Estate - SEC - Total Return
12/30/2013,0
12/31/2013,-0.49
1/1/2014,-0.49
1/2/2014,-0.66
1/3/2014,0.02
1/6/2014,0.41
1/7/2014,0.79
1/8/2014,0.55
1/9/2014,0.58
1/10/2014,1.8
1/13/2014,1.06
1/14/2014,1.82
1/15/2014,2.32
1/16/2014,2.55
1/17/2014,2.12
1/20/2014,2.12
1/21/2014,2.9
1/22/2014,3.22
1/23/2014,2.72
1/24/2014,1.2
1/27/2014,0.76
1/28/2014,1.78
1/29/2014,1.22
1/30/2014,2.81
1/31/2014,3.2
2/3/2014,1.3
2/4/2014,2.45
2/5/2014,2.31
2/6/2014,3.24
2/7/2014,4.05
2/10/2014,5.03
2/11/2014,5.5
2/12/2014,5.41
2/13/2014,5.87
2/14/2014,6.27
2/17/2014,6.27
2/18/2014,6.71
2/19/2014,6.75
2/20/2014,6.66
2/21/2014,6.71
2/24/2014,6.9
2/25/2014,6.94
2/26/2014,7.21
2/27/2014,7.01
2/28/2014,7.77
3/3/2014,7.66
3/4/2014,9.11
3/5/2014,8.82
3/6/2014,8.32
3/7/2014,7.27
3/10/2014,6.75
3/11/2014,7.4
3/12/2014,7.54
3/13/2014,7.04
3/14/2014,7.23
3/17/2014,7.47
3/18/2014,7.98
3/19/2014,5.89
3/20/2014,6.25
3/21/2014,7.04
3/24/2014,6.47
3/25/2014,7.32
3/26/2014,6.04
3/27/2014,6.72
3/28/2014,7.5
3/31/2014,8.18
4/1/2014,8.68
4/2/2014,8.73
4/3/2014,8.51
4/4/2014,8.8
4/7/2014,9.11
4/8/2014,9.75
4/9/2014,9.53
4/10/2014,8.51
4/11/2014,7.75
4/14/2014,8.46
4/15/2014,9.61
4/16/2014,10.39
4/17/2014,10.01
4/18/2014,10.01
4/21/2014,10.5
4/22/2014,10.79
4/23/2014,10.45
4/24/2014,10.87
4/25/2014,10.41
4/28/2014,11.28
4/29/2014,11.28
4/30/2014,11.7
5/1/2014,12.45
5/2/2014,12.5
5/5/2014,13.09
5/6/2014,12.58
5/7/2014,14.01
