Date,(INDEX) S&P Composite 1500 / Utilities - SEC - Total Return
12/30/2013,0
12/31/2013,0.23
1/1/2014,0.23
1/2/2014,-1.34
1/3/2014,-1.57
1/6/2014,-1.55
1/7/2014,-0.61
1/8/2014,-1.13
1/9/2014,-0.58
1/10/2014,0.81
1/13/2014,-0.16
1/14/2014,-0.03
1/15/2014,-0.21
1/16/2014,0.39
1/17/2014,0.4
1/20/2014,0.4
1/21/2014,1.55
1/22/2014,1.7
1/23/2014,1.41
1/24/2014,0.27
1/27/2014,0.44
1/28/2014,0.82
1/29/2014,0.73
1/30/2014,2.34
1/31/2014,3.07
2/3/2014,2.07
2/4/2014,1.52
2/5/2014,1.02
2/6/2014,1.73
2/7/2014,2.4
2/10/2014,3.09
2/11/2014,4.02
2/12/2014,4.11
2/13/2014,5.36
2/14/2014,6.04
2/17/2014,6.04
2/18/2014,6.41
2/19/2014,5.74
2/20/2014,6.65
2/21/2014,6.81
2/24/2014,6.46
2/25/2014,6.42
2/26/2014,6.08
2/27/2014,5.85
2/28/2014,6.53
3/3/2014,5.49
3/4/2014,6.41
3/5/2014,5.66
3/6/2014,5.07
3/7/2014,5.27
3/10/2014,5.13
3/11/2014,4.73
3/12/2014,6.07
3/13/2014,7.06
3/14/2014,7.7
3/17/2014,8.38
3/18/2014,8.27
3/19/2014,6.7
3/20/2014,6.66
3/21/2014,7.41
3/24/2014,7.64
3/25/2014,8.1
3/26/2014,7.6
3/27/2014,8.45
3/28/2014,8.62
3/31/2014,9.83
4/1/2014,9.18
4/2/2014,9
4/3/2014,9.33
4/4/2014,9.8
4/7/2014,9.49
4/8/2014,11.03
4/9/2014,10.78
4/10/2014,10.29
4/11/2014,10.11
4/14/2014,10.87
4/15/2014,12.29
4/16/2014,13.12
4/17/2014,11.89
4/18/2014,11.89
4/21/2014,11.71
4/22/2014,11.89
4/23/2014,12.01
4/24/2014,12.68
4/25/2014,13.83
4/28/2014,14.41
4/29/2014,13.89
4/30/2014,14.12
5/1/2014,14.51
5/2/2014,12.35
5/5/2014,13.21
5/6/2014,12.66
5/7/2014,14.48
5/8/2014,13.23
5/9/2014,11.76
5/12/2014,10.83
5/13/2014,10.96
5/14/2014,11.52
5/15/2014,11.13
5/16/2014,11.51
5/19/2014,9.86
5/20/2014,9.86
5/21/2014,9.9
5/22/2014,10.8
5/23/2014,10.63
5/26/2014,10.63
5/27/2014,11.5
5/28/2014,12.16
5/29/2014,12.28
5/30/2014,13.1
6/2/2014,13
6/3/2014,13.26
6/4/2014,13.34
6/5/2014,14.36
6/6/2014,14.05
6/9/2014,13.33
6/10/2014,12.97
6/11/2014,11.6
6/12/2014,11.95
6/13/2014,12.64
6/16/2014,13.44
6/17/2014,13.32
6/18/2014,15.68
6/19/2014,16.66
6/20/2014,16.03
